nda_number,product_number,nadac_NDC
17130,2,
17130,3,
17130,4,
17243,2,
17243,3,
17244,1,
17247,1,
17247,2,
17255,1,
17256,1,
17256,2,
17257,1,
17262,2,
17264,2,
17269,1,
17279,1,
17283,1,
17284,1,
17284,2,
17313,1,
17315,1,
17316,1,
17316,2,
17318,1,
17321,1,
17321,2,
17321,3,
17322,1,
17339,1,
17340,1,378808445
17343,1,
17346,1,
17346,2,
17346,3,
17346,4,
17346,5,
17346,6,
17351,1,37683015
17352,1,
17354,1,
17355,1,
17362,2,591312879
17364,1,
17366,1,
17369,1,
17369,2,
17371,1,
17371,2,
17371,3,
17373,1,47781053373
17374,1,
17376,1,
17376,2,
17377,1,
17377,2,
17378,1,
17378,2,
17381,1,61570013155
17385,1,
17386,1,904691661
17386,2,904691661
17386,3,904691661
17388,1,
17388,2,
17390,1,
17391,1,
17395,1,
17395,2,
17395,3,
17398,1,
17405,1,
17406,1,
17407,1,
17407,2,
17407,3,
17408,1,
17411,1,
17412,1,
17412,2,
17413,1,
17415,1,
17421,2,
17422,1,
17423,1,
17424,1,
17425,1,
17425,2,
17426,1,45802042337
17427,1,338004804
17428,1,338000404
17430,1,
17431,1,
17433,1,
17433,2,
17434,1,
17438,1,
17439,1,
17439,2,
17441,1,
17442,1,66993043385
17442,2,66993043385
17442,3,66993043385
17443,1,49884036401
17443,2,49884036401
17443,3,49884036401
17446,1,
17447,1,59762040001
17447,2,59762040001
17450,2,
17451,1,
17452,1,
17453,1,575620030
17454,1,
17456,1,
17460,1,
17463,2,
17463,3,
17463,4,
17463,5,
17464,1,
17466,1,
17468,1,
17469,1,61314063715
17471,1,
17473,1,
17473,3,
17476,2,
17478,1,
17481,1,
17484,1,
17486,1,
17486,2,
17486,3,
17486,4,
17486,5,
17488,1,
17489,2,
17493,1,
17493,2,
17493,3,
17493,4,
17493,5,
17493,6,
17493,7,
17494,1,
17497,1,
17498,1,
17498,2,
17498,3,
17503,1,
17503,2,
17503,3,
17506,1,
17508,1,
17508,2,
17508,4,
17510,1,
17512,1,
17512,2,
17512,3,
17512,4,
17512,5,
17512,6,
17512,7,
